,PRE018-1
CAMSAP2,0.13966386
KIF21B,0.009272776
TMEM9,0.24554408
PKP1,0.005551618
PHLDA3,0.058302768
CSRP1,0.54054475
NAV1,0.036508042
IPO9-AS1,0.0054213153
IPO9,0.07797146
SHISA4,0.06372588
ENSG00000223774,0.0017601503
LMOD1,0.03315982
TIMM17A,0.20153758
RNPEP,0.14309259
ELF3,0.37976238
ARL8A,0.22469378
PTPN7,0.018089559
LGR6,0.008734947
UBE2T,0.014316822
PPP1R12B,0.09410951
KDM5B,0.079981275
PCAT6,0.0067416863
RABIF,0.0861643
KLHL12,0.055619296
ADIPOR1,0.21795744
CYB5R1,0.20231663
TMEM183A,0.17121957
LINC01353,0.005172372
BTG2-DT,0.0025860816
BTG2,0.71830267
PRELP,0.022834096
ATP2B4,0.118911766
LAX1,0.0
ZC3H11A,0.0054417048
ZBED6,0.0019535322
SNRPE,0.6274742
SOX13,0.05044888
ETNK2,0.14850502
PLEKHA6,0.07201568
PPP1R15B,0.22040111
PIK3C2B,0.019736057
MDM4,0.30430633
NFASC,0.028568741
RBBP5,0.06988775
DSTYK,0.07137989
CDK18,0.05145864
ELK4,0.15689164
SLC45A3,0.00688182
NUCKS1,0.7534647
RAB29,0.14125971
SLC41A1,0.05883819
PM20D1,0.005926294
RHEX,0.02618023
FAM72A,0.0062851566
SRGAP2,0.05808053
RASSF5,0.023173079
EIF2D,0.08309314
MAPKAPK2,0.25894922
IL10,0.0
IL20,0.0
FCMR,0.011997292
PFKFB2,0.11870216
YOD1,0.0361756
CD55,0.2074449
CR1,0.008547722
CD46,0.6337418
MIR29B2CHG,0.09209706
CD34,0.1387642
PLXNA2,0.055473205
G0S2,0.3199844
TRAF3IP3,0.03252889
IRF6,0.08375602
UTP25,0.041834496
SERTAD4-AS1,0.20366159
HHAT,0.031737283
RCOR3,0.107926235
TRAF5,0.038638316
LINC00467,0.07178579
SLC30A1,0.16071737
NEK2,0.0
LPGAT1,0.14496607
INTS7,0.030791124
PPP2R5A,0.22894233
PACC1,0.018387878
NENF,0.71786046
ENSG00000260805,0.02556009
ATF3,0.5914343
BATF3,0.02403365
NSL1,0.1376839
TATDN3,0.097913004
FLVCR1,0.037179563
ANGEL2,0.071540944
RPS6KC1,0.034172364
SMYD2,0.05290597
