,PRE98sc
INPP5B,0.026098771
SF3A3,0.08305016
FHL3,0.014666919
UTP11,0.065086596
RRAGC,0.063905895
MYCBP,0.06551786
RHBDL2,0.0043596243
AKIRIN1,0.24931493
NDUFS5,1.3888477
MACF1,0.37227258
PABPC4,0.19063093
HEYL,0.007595646
PPIE,0.1629681
TRIT1,0.048393164
MFSD2A,0.0016607816
CAP1,0.3034079
PPT1,0.29578236
RLF,0.08872249
ZMPSTE24-DT,0.045270346
ZMPSTE24,0.30767757
COL9A2,0.060200512
SMAP2,0.06035236
ZNF684,0.042803302
RIMS3,0.005536094
NFYC,0.1076918
CITED4,0.24925323
CTPS1,0.024235206
SCMH1,0.06509774
HIVEP3,0.011984447
FOXJ3,0.08347524
PPCS,0.26746613
CCDC30,0.022413168
PPIH,0.114218704
YBX1,0.9637036
P3H1,0.022698807
C1orf50,0.03873337
SVBP,0.079725765
ERMAP,0.017757736
ZNF691,0.031499248
SLC2A1,0.05621622
CFAP144,0.002612773
EBNA1BP2,0.11172411
TMEM125,0.0331598
C1orf210,0.06036604
TIE1,0.05075387
ELOVL1,0.093401104
MED8,0.051887456
SZT2,0.035168886
HYI,0.24920167
PTPRF,0.18453792
KDM4A,0.025706073
ST3GAL3,0.03179701
ARTN,0.016396241
IPO13,0.074193776
DPH2,0.028449532
ATP6V0B,1.3008763
B4GALT2,0.050323565
CCDC24,0.07398457
SLC6A9,0.006347048
DMAP1,0.12357705
ERI3,0.21057308
RNF220,0.08717991
TMEM53,0.12420453
KIF2C,0.0024034383
RPS8,2.0448914
PLK3,0.01482681
BTBD19,0.0072171893
EIF2B3,0.025780153
HECTD3,0.05072527
UROD,0.16664258
MUTYH,0.038004376
TOE1,0.030678647
PRDX1,1.517558
AKR1A1,0.370511
NASP,0.14705561
CCDC17,0.009532995
GPBP1L1,0.27466393
TMEM69,0.12013962
IPP,0.0427651
MAST2,0.014869725
PIK3R3,0.044914953
TSPAN1,0.24808304
POMGNT1,0.11793323
LURAP1,0.03166884
LRRC41,0.108796865
UQCRH,1.2689571
NSUN4,0.034921344
FAAH,0.09769362
MKNK1,0.06121046
MOB3C,0.020337734
ATPAF1,0.1882046
EFCAB14,0.5028552
CYP4B1,0.0023018653
TAL1,0.007259955
CMPK1,0.32952836
TRABD2B,0.08539705
SPATA6,0.057428543
ELAVL4,0.0
FAF1,0.0835499
CDKN2C,0.031070864
RNF11,0.26203927
EPS15,0.1940752
OSBPL9,0.2790931
NRDC,0.15482117
TXNDC12,0.125345
KTI12,0.023487315
BTF3L4,0.47541776
ZFYVE9,0.04137446
CC2D1B,0.036546953
PRPF38A,0.12232873
TUT4,0.16559091
GPX7,0.012194486
SHISAL2A,0.0
COA7,0.021277884
ZYG11B,0.16805042
ECHDC2,0.4221826
SCP2,0.92181087
PODN,0.0021285205
CPT2,0.07241633
CZIB,0.1609347
MAGOH,0.25522262
LRP8,0.0060559856
NDC1,0.04872634
YIPF1,0.054567292
IFT25,0.29520082
LRRC42,0.061971646
TMEM59,1.4670938
TCEANC2,0.020780753
CYB5RL,0.015331053
MRPL37,0.17545594
SSBP3,0.25919893
ACOT11,0.07863881
TTC4,0.0073365653
DHCR24,0.0724653
TMEM61,0.15337387
USP24,0.13035984
PLPP3,0.4153312
OMA1,0.16204362
TACSTD2,0.58973396
MYSM1,0.12213998
JUN,0.56975645
FGGY,0.030587584
NFIA,0.2789341
NFIA-AS2,0.0
TM2D1,0.33033767
PATJ,0.28694978
USP1,0.11486202
DOCK7,0.10251069
ANGPTL3,0.12189123
ATG4C,0.06189686
ALG6,0.044129707
ITGB3BP,0.3625636
EFCAB7,0.038229793
PGM1,0.10544657
CACHD1,0.06331558
JAK1,0.32509103
AK4,0.29943115
DNAJC6,0.0120508475
LEPROT,0.45991626
LEPR,0.052970856
PDE4B,0.007760539
SGIP1,0.052314084
MIER1,0.15619206
SERBP1,0.5809523
GADD45A,0.31638557
GNG12,0.3340947
WLS,0.36083025
LRRC40,0.07021461
SRSF11,0.4735481
ANKRD13C,0.05709271
ZRANB2,0.24262945
FPGT,0.066171445
FPGT-TNNI3K,0.0028488825
CRYZ,0.5141554
TYW3,0.1189297
ACADM,0.53481156
RABGGTB,0.26636216
ST6GALNAC3,0.012051797
PIGK,0.16911128
ZZZ3,0.09785311
USP33,0.1961646
MIGA1,0.2012543
NEXN,0.037288543
FUBP1,0.1974043
DNAJB4,0.16167593
GIPC2,0.28214696
ENSG00000273338,0.024570799
IFI44L,0.09235844
IFI44,0.0520301
ADGRL4,0.114106424
ADGRL2,0.22906764
TTLL7,0.025253445
PRKACB,0.20640874
RPF1,0.108095445
GNG5,0.6641867
SPATA1,0.016800847
CTBS,0.17184664
SSX2IP,0.079561636
C1orf52,0.08724165
BCL10,0.13416417
DDAH1,0.45135146
CCN1,0.13826278
ZNHIT6,0.056997858
ODF2L,0.111085854
SH3GLB1,0.33823043
SELENOF,0.487083
HS2ST1,0.118504465
LMO4,0.1295295
PKN2,0.2253449
GTF2B,0.09858626
KYAT3,0.0945858
RBMXL1,0.045433067
GBP3,0.05795762
GBP1,0.036290504
GBP2,0.040843815
GBP4,0.13901784
GBP5,0.0036718617
LRRC8B,0.04994942
LRRC8C-DT,0.013920889
LRRC8C,0.04098746
LRRC8D,0.073819175
ZNF326,0.09469166
ZNF644,0.17012192
TGFBR3,0.12333475
BTBD8,0.015861822
GLMN,0.035351165
RPAP2,0.04700939
EVI5,0.10534707
RPL5,1.2414231
DIPK1A,0.007154817
MTF2,0.08506436
TMED5,0.23232438
CCDC18,0.0042004455
DR1,0.1482043
FNBP1L,0.28545886
BCAR3,0.08014091
DNTTIP2,0.065337956
GCLM,0.106732234
ARHGAP29,0.35189277
ABCD3,0.3107667
F3,0.07025864
CNN3,0.82476383
ALG14,0.04739068
TLCD4,0.048586804
PTBP2,0.16728833
DPYD,0.07187451
SNX7,0.095443636
PALMD,0.050603393
AGL,0.23372826
SLC35A3,0.18785101
MFSD14A,0.005822756
TRMT13,0.073797986
DBT,0.18176836
RTCA-AS1,0.01978523
RTCA,0.08933207
CDC14A,0.01657498
VCAM1,0.15414387
EXTL2,0.092265874
SLC30A7,0.14229897
DPH5,0.048073705
DPH5-DT,0.017979298
S1PR1,0.07022787
RNPC3,0.161266
PRMT6,0.09493675
VAV3,0.43640006
SLC25A24,0.11955297
EEIG2,0.0212362
HENMT1,0.023520645
PRPF38B,0.17666318
STXBP3,0.18833478
GPSM2,0.020578453
CLCC1,0.047796406
WDR47,0.036189023
TAF13,0.09942432
TMEM167B,0.12357271
SARS1,0.23771732
CELSR2,0.06588512
PSRC1,0.0047962447
SORT1,0.2149795
PSMA5,0.21606624
CYB561D1,0.010211999
AMIGO1,0.021364557
GNAI3,0.20823398
AMPD2,0.04889459
GSTM4,0.15934975
GSTM1,0.030414104
GSTM5,0.0041238363
GSTM3,0.8274802
CSF1,0.013308429
AHCYL1,0.4996885
STRIP1,0.04702784
KCNC4,0.13818717
RBM15,0.030000847
SLC16A4,0.27052268
LAMTOR5,0.7257459
CD53,0.018498449
LRIF1,0.03989194
DRAM2,0.1541199
CEPT1,0.0972073
ENSG00000273221,0.0069238595
DENND2D,0.049328126
WDR77,0.046826847
ATP5PB,0.5993088
C1orf162,0.021877375
TMIGD3,0.0
ADORA3,0.005133026
RAP1A,0.26700974
DDX20,0.047030386
CTTNBP2NL,0.050853636
WNT2B,0.0077972114
ST7L,0.06368454
CAPZA1,0.2737197
MOV10,0.062136073
RHOC,0.47374487
PPM1J,0.004433603
SLC16A1,0.035236064
SLC16A1-AS1,0.0026303804
LRIG2,0.063403845
MAGI3,0.0864037
PHTF1,0.05512391
RSBN1,0.1664496
PTPN22,0.0025955965
AP4B1,0.019310556
DCLRE1B,0.012356372
HIPK1-AS1,0.0035165804
HIPK1,0.19376366
OLFML3,0.0035642942
TRIM33,0.16797824
BCAS2,0.15509327
DENND2C,0.024111116
NRAS,0.09656475
CSDE1,0.7526169
SIKE1,0.13895212
TSPAN2,0.022194615
NGF,0.0
VANGL1,0.04164425
CASQ2,0.010186333
SLC22A15,0.060270276
ATP1A1,1.5186749
CD58,0.08591519
CD2,0.013110453
PTGFRN,0.0378923
TTF2,0.03486122
TRIM45,0.019830156
VTCN1,0.04850805
MAN1A2,0.23109461
TENT5C,0.03953563
GDAP2,0.07051512
WDR3,0.056908306
WARS2,0.053315412
PHGDH,0.20735508
HMGCS2,0.44843498
NOTCH2,0.092878185
SEC22B,0.36043102
LINC00623,0.0051871636
FCGR1BP,0.0
SRGAP2C,0.05538206
LINC02591,0.0
LINC02802,0.0032549358
NBPF15,0.0027052714
SRGAP2B,0.02070264
ENSG00000276216,0.0036971665
GPR89A,0.04233782
PDZK1,0.2810136
CD160,0.0040942226
RNF115,0.18146122
POLR3C,0.025440805
NUDT17,0.010407114
PIAS3,0.036232512
ITGA10,0.0031056993
PEX11B,0.1507888
RBM8A,0.4240253
LIX1L,0.046805922
POLR3GL,0.12563561
TXNIP,1.6900847
NOTCH2NLA,0.002505841
NBPF12,0.025514862
PRKAB2,0.093360454
ENSG00000237188,0.006091072
FMO5,0.029327592
CHD1L,0.06020985
BCL9,0.07190241
ACP6,0.047972605
GJA5,0.017595742
NBPF11,0.043719318
NBPF14,0.012916412
PDE4DIP,0.1637025
NBPF9,0.011127288
ENSG00000274265,0.024994122
NBPF19,0.021433001
FCGR1A,0.0015198532
H2BC18,0.0031828526
H2AC19,0.06927765
H2AC20,0.0341473
BOLA1,0.10365895
SF3B4,0.1352533
MTMR11,0.04195926
OTUD7B,0.08650744
VPS45,0.09768008
PLEKHO1,0.030629367
ANP32E,0.2853934
APH1A,0.24870059
C1orf54,0.1973681
MRPS21,0.7057193
PRPF3,0.05148815
RPRD2,0.13293807
TARS2,0.03714055
ECM1,0.015382571
ADAMTSL4-AS2,0.0
MCL1,0.24267454
ENSA,0.2895481
GOLPH3L,0.0970205
CTSS,0.055332676
CTSK,0.012294161
ARNT,0.075337596
SETDB1,0.03645746
CERS2,0.21881638
ANXA9,0.046348058
MINDY1,0.08552874
C1orf56,0.30093935
CDC42SE1,0.3518248
MLLT11,0.012066534
GABPB2,0.04769661
TNFAIP8L2,0.0007812711
SCNM1,0.051058214
LYSMD1,0.04843294
VPS72,0.11025965
PIP5K1A,0.09744119
PSMD4,0.23037453
ZNF687,0.02809126
PI4KB,0.1072464
RFX5,0.047526073
SELENBP1,0.21035995
PSMB4,0.3593468
POGZ,0.22741793
CGN,0.047155112
TUFT1,0.042719312
SNX27,0.15556863
MRPL9,0.107744746
OAZ3,0.0063848444
TDRKH,0.0086916825
TDRKH-AS1,0.0036505917
THEM4,0.11295183
S100A10,1.4263824
S100A11,1.4626217
TCHH,0.0
S100A9,0.021469118
S100A12,0.0026893949
S100A8,0.006062788
S100A7,0.0
S100A6,2.753416
S100A5,0.010145834
S100A4,0.78660476
S100A16,0.27585378
S100A14,0.12513934
S100A13,0.61486083
CHTOP,0.1376274
SNAPIN,0.11024597
ILF2,0.20563647
NPR1,0.0778475
INTS3,0.10718052
SLC27A3,0.04304456
GATAD2B,0.07038517
DENND4B,0.04700147
CRTC2,0.046753928
SLC39A1,0.13513511
CREB3L4,0.036833953
JTB,0.45299083
JTB-DT,0.006929016
RAB13,0.29700974
RPS27,2.9710448
TPM3,0.38468108
C1orf43,0.360101
UBAP2L,0.10876475
HAX1,0.29057366
ATP8B2,0.015936872
IL6R,0.059778277
SHE,0.058175985
UBE2Q1,0.16691747
ADAR,0.25655183
KCNN3,0.039147995
PMVK,0.314814
PBXIP1,0.19806825
PYGO2,0.068816565
SHC1,0.10194316
CKS1B,0.17243479
FLAD1,0.06536811
ZBTB7B,0.0531797
ADAM15,0.06845081
EFNA4,0.021339072
EFNA3,0.0031790854
EFNA1,0.097845405
SLC50A1,0.11066411
DPM3,0.74859655
KRTCAP2,0.62769365
MUC1,0.8866805
THBS3,0.016233576
MTX1,0.14617448
GBA1,0.010623187
ENTREP3,0.033403795
SCAMP3,0.13638292
CLK2,0.036174256
FDPS,0.26131156
RUSC1,0.04563543
ASH1L,0.26045248
MSTO1,0.012295519
YY1AP1,0.07984722
DAP3,0.09942081
GON4L,0.07559518
SYT11,0.025309643
RIT1,0.08798724
KHDC4,0.120383896
ARHGEF2,0.04326172
SSR2,0.45137373
UBQLN4,0.036950417
LAMTOR2,0.44143996
RAB25,0.23675711
LMNA,0.38514522
SEMA4A,0.029468536
SLC25A44,0.06588568
PMF1,0.20689948
SMG5,0.08588224
TMEM79,0.0054603396
GLMP,0.12079515
CCT3,0.2599479
MEF2D,0.067994505
NAXE,0.33397284
GPATCH4,0.030621337
NES,0.032912757
CRABP2,0.048330877
ISG20L2,0.064728156
METTL25B,0.065909885
MRPL24,0.1840887
HDGF,0.2227986
PRCC,0.09245902
SH2D2A,0.004573207
PEAR1,0.02403006
ARHGEF11,0.039206058
ETV3,0.04859496
CD5L,0.0
KIRREL1,0.018825898
CD1D,0.006581185
CD1C,0.0
MNDA,0.017252665
PYHIN1,0.00805188
IFI16,0.14366274
ACKR1,0.0033884787
FCER1A,0.0052465787
ENSG00000228560,0.0
APCS,0.0
DUSP23,0.35926285
FCRL6,0.0
TAGLN2,0.46320924
PIGM,0.078023896
IGSF8,0.10380039
ATP1A2,0.0070213364
PEA15,0.086882494
DCAF8,0.17334142
PEX19,0.12822647
COPA,0.2553727
NCSTN,0.15352812
SLAMF6,0.0020792382
CD84,0.0054278867
SLAMF1,0.0025234055
CD48,0.009906374
SLAMF7,0.0010427833
LY9,0.0
CD244,0.0
ITLN1,0.015585307
F11R,0.17953207
TSTD1,0.83145934
USF1,0.03221773
ARHGAP30,0.008591371
NECTIN4,0.018017171
