,3593
ADIPOR1,0.07504336
CYB5R1,0.06035976
TMEM183A,0.052108467
LINC01353,0.0019016669
BTG2-DT,0.0013508226
BTG2,0.2468595
PRELP,0.09095956
ATP2B4,0.25582516
LAX1,0.0022139528
ZC3H11A,0.0
ZBED6,0.0
SNRPE,0.07358835
SOX13,0.42313418
ETNK2,0.033122756
PLEKHA6,0.5318257
PPP1R15B,0.07943608
PIK3C2B,0.25379682
MDM4,0.57297885
NFASC,0.16919087
RBBP5,0.17175129
DSTYK,0.3344808
CDK18,0.21082935
ELK4,0.2082147
SLC45A3,0.022117944
NUCKS1,0.7266076
RAB29,0.09000329
SLC41A1,0.047250263
PM20D1,0.033514995
RHEX,1.010997
FAM72A,0.0015286021
SRGAP2,0.30953363
RASSF5,0.053848285
EIF2D,0.07232963
MAPKAPK2,0.27938712
IL10,0.0009924668
IL20,0.0
FCMR,0.0020645033
PFKFB2,0.12813105
YOD1,0.022673711
CD55,0.1281504
CR1,0.011250234
CD46,0.6800848
MIR29B2CHG,0.7077002
CD34,0.17371434
PLXNA2,0.37789908
G0S2,0.04936797
TRAF3IP3,0.008756007
IRF6,0.043996353
UTP25,0.05172288
SERTAD4-AS1,0.029869497
HHAT,0.2430921
RCOR3,0.6697982
TRAF5,0.10946555
LINC00467,0.22000065
SLC30A1,0.044680294
NEK2,0.00030297437
LPGAT1,0.42601025
INTS7,0.12943068
PPP2R5A,0.62035805
PACC1,0.058944877
NENF,0.09942608
ENSG00000260805,0.0046614283
ATF3,0.033687595
BATF3,0.0034674688
NSL1,0.23403288
