,KRP446
SORT1,0.4325082
PSMA5,0.13979124
CYB561D1,0.030433659
AMIGO1,0.0052080345
GNAI3,0.25521535
AMPD2,0.055580348
GSTM4,0.034905404
GSTM1,0.0
GSTM5,0.0026439975
GSTM3,0.087521404
CSF1,0.008361021
AHCYL1,0.49306333
STRIP1,0.12664975
KCNC4,0.12068696
RBM15,0.082110785
SLC16A4,0.2445604
LAMTOR5,0.11272713
CD53,0.014464564
LRIF1,0.057285983
DRAM2,0.1388334
CEPT1,0.24102208
ENSG00000273221,0.004060092
DENND2D,0.06765399
WDR77,0.043038353
ATP5PB,0.1446624
C1orf162,0.00817497
TMIGD3,0.0014584644
ADORA3,0.0
RAP1A,0.6346239
DDX20,0.03437322
CTTNBP2NL,0.2151238
WNT2B,0.09661591
ST7L,0.25243047
CAPZA1,0.29321837
MOV10,0.14374779
RHOC,0.10323793
PPM1J,0.0
SLC16A1,0.058936622
SLC16A1-AS1,0.15276498
LRIG2,0.3181588
MAGI3,1.0795219
PHTF1,0.15453906
RSBN1,0.18230978
PTPN22,0.015570247
AP4B1,0.029318376
DCLRE1B,0.0043572863
HIPK1-AS1,0.002946555
HIPK1,0.1501464
OLFML3,0.004624177
TRIM33,0.6296669
BCAS2,0.057200044
DENND2C,0.039553393
NRAS,0.030350389
CSDE1,0.34713745
SIKE1,0.05810276
TSPAN2,0.0398164
NGF,0.0031913472
VANGL1,0.07983184
CASQ2,0.0
SLC22A15,0.2463152
ATP1A1,1.7450438
CD58,0.2672959
CD2,0.005835705
PTGFRN,0.049777437
TTF2,0.086582124
TRIM45,0.00975985
VTCN1,0.010242661
MAN1A2,0.58183897
TENT5C,0.03860345
GDAP2,0.22607972
WDR3,0.047621172
WARS2,0.16629438
PHGDH,0.0963955
HMGCS2,0.066774465
NOTCH2,0.22415364
SEC22B,0.14965431
LINC00623,0.29710963
FCGR1BP,0.00038440255
SRGAP2C,0.13527614
LINC02591,0.04018017
LINC02802,0.0046165963
NBPF15,0.08123334
SRGAP2B,0.14452866
ENSG00000276216,0.0011934976
GPR89A,0.091175
PDZK1,0.4724616
CD160,0.0029072003
RNF115,0.71658
POLR3C,0.07468914
NUDT17,0.006242616
PIAS3,0.036103178
ITGA10,0.014901858
PEX11B,0.04728628
RBM8A,0.060065318
LIX1L,0.027025543
POLR3GL,0.014658811
TXNIP,0.82126266
NOTCH2NLA,0.000111448404
NBPF12,0.21177968
PRKAB2,0.12139274
ENSG00000237188,0.16622831
FMO5,0.21352357
CHD1L,0.20115478
BCL9,0.2431715
ACP6,0.16574192
GJA5,0.01257838
NBPF11,0.15185085
NBPF14,0.097970046
PDE4DIP,0.5452602
NBPF9,0.06652942
ENSG00000274265,0.59850955
NBPF19,0.12895565
FCGR1A,0.00019701608
H2BC18,0.008202972
H2AC19,0.0
H2AC20,0.0028153972
BOLA1,0.013916461
SF3B4,0.037460018
MTMR11,0.040624585
OTUD7B,0.4608592
VPS45,0.33143693
PLEKHO1,0.017322106
ANP32E,0.063402325
APH1A,0.071137406
C1orf54,0.07798936
MRPS21,0.1302481
PRPF3,0.19703676
RPRD2,0.6823273
TARS2,0.057292752
ECM1,0.008435569
ADAMTSL4-AS2,0.014074147
MCL1,0.20475933
ENSA,0.45611653
GOLPH3L,0.16685602
CTSS,0.01822431
CTSK,0.01889082
ARNT,0.26955235
SETDB1,0.17291576
CERS2,0.06764595
ANXA9,0.018042378
MINDY1,0.060132142
C1orf56,0.011793191
CDC42SE1,0.077638805
MLLT11,0.005546365
GABPB2,0.27948904
TNFAIP8L2,0.0
SCNM1,0.030747548
LYSMD1,0.023853596
VPS72,0.052704897
PIP5K1A,0.72210324
PSMD4,0.11514674
ZNF687,0.023061698
PI4KB,0.19687967
RFX5,0.011679172
SELENBP1,0.13425972
PSMB4,0.028707797
POGZ,0.95862436
CGN,0.10407392
TUFT1,0.20386586
SNX27,0.3153673
MRPL9,0.02477569
OAZ3,0.00024124724
TDRKH,0.01904154
TDRKH-AS1,0.0049325298
THEM4,0.17193744
S100A10,0.086929046
S100A11,0.08510943
TCHH,0.0
S100A9,0.010245768
S100A12,0.00046206225
S100A8,0.0010439287
S100A7,0.0
S100A6,0.29043213
S100A5,0.00030814763
S100A4,0.033965573
S100A16,0.034000408
S100A14,0.0066532036
S100A13,0.08588198
CHTOP,0.15612581
SNAPIN,0.015538167
ILF2,0.08692398
NPR1,0.045950983
INTS3,0.265984
SLC27A3,0.038177907
GATAD2B,0.8533979
DENND4B,0.115006804
CRTC2,0.034763195
SLC39A1,0.030879034
CREB3L4,0.019062595
JTB,0.074611716
JTB-DT,0.0022003786
RAB13,0.05164892
RPS27,0.050598904
TPM3,0.17399758
C1orf43,0.18422534
UBAP2L,0.25101393
HAX1,0.038815033
ATP8B2,0.02801667
IL6R,0.5494619
SHE,0.022828907
UBE2Q1,0.03485008
ADAR,0.22345448
KCNN3,0.1513644
PMVK,0.06846907
PBXIP1,0.081830285
PYGO2,0.02144
SHC1,0.008719068
CKS1B,0.006542358
FLAD1,0.0329482
ZBTB7B,0.101459906
ADAM15,0.02504876
EFNA4,0.0
EFNA3,0.0013083797
EFNA1,0.1413524
SLC50A1,0.036088128
DPM3,0.032582045
KRTCAP2,0.0
MUC1,0.006352924
THBS3,0.08726783
MTX1,0.024471778
GBA1,0.04531675
ENTREP3,0.029511115
SCAMP3,0.081054926
CLK2,0.1113859
FDPS,0.20201333
RUSC1,0.055365983
ASH1L,1.3450027
MSTO1,0.029763253
YY1AP1,0.28448597
DAP3,0.27425238
GON4L,0.5073924
SYT11,0.0123338895
RIT1,0.09167982
KHDC4,0.32150942
ARHGEF2,0.09799534
SSR2,0.07478269
UBQLN4,0.09505675
LAMTOR2,0.02577721
RAB25,0.01742412
LMNA,0.21341461
