,Sample1162-EO2
IPO13,0.09041669
DPH2,0.025288923
ATP6V0B,1.2475448
B4GALT2,0.071780056
CCDC24,0.06415498
SLC6A9,0.001405908
DMAP1,0.15592098
ERI3,0.25421986
RNF220,0.08828616
TMEM53,0.12756991
KIF2C,0.0
RPS8,2.4538033
PLK3,0.036178887
BTBD19,0.0029281978
EIF2B3,0.07766692
HECTD3,0.042800065
UROD,0.18588756
MUTYH,0.042789403
TOE1,0.027972803
PRDX1,1.7374018
AKR1A1,0.5580455
NASP,0.24177507
CCDC17,0.004206067
GPBP1L1,0.22907872
TMEM69,0.08546359
IPP,0.065457314
MAST2,0.017310677
PIK3R3,0.09165908
TSPAN1,0.36457658
POMGNT1,0.1363176
LURAP1,0.039491
LRRC41,0.13399935
UQCRH,1.8013483
NSUN4,0.05009046
FAAH,0.07102254
MKNK1,0.07724246
MOB3C,0.027656391
ATPAF1,0.21149234
EFCAB14,0.41047448
CYP4B1,0.007184627
TAL1,0.030625
CMPK1,0.32294407
TRABD2B,0.097467184
SPATA6,0.08431046
ELAVL4,0.0
FAF1,0.08390892
CDKN2C,0.05670354
RNF11,0.26407662
EPS15,0.16455965
OSBPL9,0.32435915
NRDC,0.19496144
TXNDC12,0.17054106
KTI12,0.032925345
BTF3L4,0.40618134
ZFYVE9,0.06201695
CC2D1B,0.045691855
PRPF38A,0.19193824
TUT4,0.20356308
GPX7,0.02207656
SHISAL2A,0.0
COA7,0.04260118
ZYG11B,0.16200253
ECHDC2,0.4733256
SCP2,0.92289335
PODN,0.0013025894
CPT2,0.11169497
CZIB,0.2340755
MAGOH,0.43435475
LRP8,0.0055896393
NDC1,0.029937075
YIPF1,0.059451383
IFT25,0.3297064
LRRC42,0.09770633
TMEM59,1.3458139
TCEANC2,0.01761997
CYB5RL,0.01788244
MRPL37,0.2455626
SSBP3,0.2403635
ACOT11,0.08373742
TTC4,0.022263177
DHCR24,0.08387609
TMEM61,0.19129594
USP24,0.12804705
PLPP3,0.39742038
OMA1,0.11467128
TACSTD2,0.5149646
MYSM1,0.112893865
JUN,0.72445214
FGGY,0.055243682
NFIA,0.26024792
NFIA-AS2,0.0
TM2D1,0.36788505
PATJ,0.2937591
USP1,0.1361711
DOCK7,0.09128266
ANGPTL3,0.12919393
ATG4C,0.0400991
ALG6,0.03960017
ITGB3BP,0.2191113
EFCAB7,0.028910281
PGM1,0.11994117
CACHD1,0.03857137
JAK1,0.4426022
AK4,0.4111858
DNAJC6,0.028340196
LEPROT,0.56285703
LEPR,0.027066488
PDE4B,0.007766418
SGIP1,0.07262885
MIER1,0.26125532
SERBP1,0.6751748
GADD45A,0.540489
GNG12,0.35416225
WLS,0.33403763
LRRC40,0.075473025
SRSF11,0.47617897
ANKRD13C,0.058020685
ZRANB2,0.32134143
FPGT,0.05287505
FPGT-TNNI3K,0.004673293
CRYZ,0.5822669
TYW3,0.17139636
ACADM,0.8026999
RABGGTB,0.26498187
ST6GALNAC3,0.010632398
PIGK,0.12178846
ZZZ3,0.10344498
USP33,0.19087061
MIGA1,0.17113039
NEXN,0.046625376
