,PRE038
PPIH,0.07621059
YBX1,0.84660345
P3H1,0.022538928
C1orf50,0.027050054
SVBP,0.088698134
ERMAP,0.012821783
ZNF691,0.024837554
SLC2A1,0.02316589
CFAP144,0.0038697934
EBNA1BP2,0.19097926
TMEM125,0.058804028
C1orf210,0.07433615
TIE1,0.080175154
ELOVL1,0.08371139
MED8,0.088534616
SZT2,0.03599255
HYI,0.34953913
PTPRF,0.08366418
KDM4A,0.02367467
ST3GAL3,0.025193127
ARTN,0.019727431
IPO13,0.10252835
DPH2,0.021417323
ATP6V0B,0.6580818
B4GALT2,0.029287236
CCDC24,0.033606682
SLC6A9,0.0041526738
DMAP1,0.12535694
ERI3,0.33142155
RNF220,0.07055124
TMEM53,0.069343485
KIF2C,0.0016126368
RPS8,1.9045209
PLK3,0.02674225
BTBD19,0.010931667
EIF2B3,0.043669578
HECTD3,0.04641202
UROD,0.15886973
MUTYH,0.029783852
TOE1,0.022555772
PRDX1,1.7047449
AKR1A1,1.1819465
NASP,0.108909
CCDC17,0.006320991
GPBP1L1,0.22821295
TMEM69,0.061719246
IPP,0.049468726
MAST2,0.030287305
PIK3R3,0.060669
TSPAN1,0.4101857
POMGNT1,0.09154672
LURAP1,0.010215916
LRRC41,0.0910609
UQCRH,1.2604916
NSUN4,0.050397966
FAAH,0.12299058
MKNK1,0.03987477
MOB3C,0.017208965
ATPAF1,0.16512321
EFCAB14,0.28932056
CYP4B1,0.00245235
TAL1,0.03980175
CMPK1,0.45372584
TRABD2B,0.065239556
SPATA6,0.042316694
ELAVL4,0.0
FAF1,0.074138254
CDKN2C,0.08165272
RNF11,0.22748321
EPS15,0.1584525
OSBPL9,0.2546811
NRDC,0.10999748
TXNDC12,0.12955123
KTI12,0.021776574
BTF3L4,0.24988845
ZFYVE9,0.04177313
CC2D1B,0.037959028
PRPF38A,0.1080391
TUT4,0.14778253
GPX7,0.015847534
SHISAL2A,0.003019
COA7,0.036127117
ZYG11B,0.23985867
ECHDC2,0.5787997
SCP2,1.037501
PODN,0.0
CPT2,0.098805234
CZIB,0.1997594
MAGOH,0.25395492
LRP8,0.0014096171
NDC1,0.024609711
YIPF1,0.043491695
IFT25,0.27017492
LRRC42,0.053932235
TMEM59,1.1217004
TCEANC2,0.016585628
CYB5RL,0.0056506256
MRPL37,0.20461652
SSBP3,0.15875559
ACOT11,0.08334693
TTC4,0.004690643
DHCR24,0.077547155
TMEM61,0.050125223
USP24,0.075468
PLPP3,0.46282968
OMA1,0.09351434
TACSTD2,0.069205
MYSM1,0.105228655
JUN,0.3861878
FGGY,0.06195339
NFIA,0.437937
NFIA-AS2,0.0
TM2D1,0.23572299
PATJ,0.3220304
USP1,0.102118164
DOCK7,0.06391588
ANGPTL3,0.4738303
ATG4C,0.044914056
ALG6,0.019984972
ITGB3BP,0.105303146
EFCAB7,0.031064251
PGM1,0.11681936
CACHD1,0.05735162
JAK1,0.2873236
AK4,1.1553125
DNAJC6,0.053128477
LEPROT,0.55559385
LEPR,0.035596296
PDE4B,0.009170463
SGIP1,0.05154161
